iter	RMSE
0	30.26794797
1	26.73090038
2	23.76062916
3	21.29984005
4	19.30243961
5	17.68767512
6	16.34830084
7	15.29738354
8	14.49363558
9	13.85833318
10	13.35633866
11	12.91111501
12	12.57313046
13	12.32557171
14	12.08844861
15	11.91955634
16	11.78333619
17	11.68417191
18	11.58572606
19	11.51121007
20	11.38830645
21	11.30270925
22	11.22138207
23	11.16557595
24	11.10300525
25	11.05686014
26	11.01050491
27	10.98106703
28	10.92641514
29	10.84734974
30	10.80786877
31	10.7580823
32	10.72241746
33	10.68263113
34	10.65960891
35	10.62558921
36	10.58030807
37	10.55833587
38	10.51759876
39	10.48284094
40	10.457702
41	10.42367504
42	10.39492017
43	10.36006941
44	10.33740552
45	10.32438034
46	10.28556643
47	10.2526436
48	10.20851983
49	10.1776295
50	10.14205026
51	10.1055444
52	10.07763099
53	10.05004281
54	10.01780592
55	9.997575727
56	9.967498345
57	9.953788294
58	9.934460762
59	9.919001654
60	9.894378548
61	9.870304658
62	9.846253723
63	9.831153925
64	9.809531977
65	9.787027095
66	9.770511614
67	9.747005861
68	9.711877049
69	9.681462629
70	9.661032188
71	9.639241836
72	9.616083696
73	9.598427671
74	9.588780978
75	9.570314293
76	9.548428832
77	9.528250101
78	9.516436956
79	9.497635397
80	9.479642915
81	9.449133102
82	9.437703467
83	9.419584641
84	9.398302969
85	9.382808897
86	9.360222641
87	9.349236837
88	9.322424829
89	9.292278143
90	9.266052564
91	9.247290218
92	9.231296212
93	9.213399228
94	9.191843725
95	9.17619311
96	9.14994637
97	9.136013587
98	9.115084582
99	9.097883149
