iter	Passed	Remaining
0	25	2534
1	35	1719
2	41	1335
3	45	1087
4	49	949
5	54	851
6	58	774
7	61	712
8	65	664
9	69	624
10	73	593
11	76	564
12	80	541
13	85	526
14	88	504
15	92	488
16	96	470
17	99	455
18	103	440
19	106	426
20	113	425
21	122	436
22	132	444
23	140	445
24	144	433
25	148	421
26	152	411
27	155	400
28	160	391
29	163	381
30	167	373
31	171	364
32	175	356
33	183	356
34	191	355
35	196	349
36	203	346
37	208	340
38	212	331
39	216	324
40	220	316
41	224	309
42	227	302
43	232	295
44	237	289
45	241	283
46	245	276
47	249	270
48	253	263
49	257	257
50	260	250
51	264	244
52	268	237
53	272	232
54	276	226
55	280	220
56	283	213
57	286	207
58	291	202
59	295	196
60	298	190
61	301	185
62	305	179
63	309	174
64	313	168
65	318	163
66	322	158
67	326	153
68	330	148
69	336	144
70	340	138
71	344	134
72	348	128
73	352	123
74	356	118
75	360	113
76	364	108
77	368	104
78	373	99
79	377	94
80	384	90
81	394	86
82	403	82
83	410	78
84	414	73
85	419	68
86	424	63
87	427	58
88	431	53
89	435	48
90	439	43
91	444	38
92	449	33
93	453	28
94	457	24
95	461	19
96	465	14
97	469	9
98	474	4
99	478	0
