Paper Title,Figure No.,Subfigure,Coupling Type,Dosage,Particle Diameter (µm),Breathing Rate (L/min),Lung Region,Deposition Type,Deposition Fraction,Deposition Efficiency (%),Paper Lung Region,Our Lung Region,Lung Region Explanation,Breath Phase,Deposition Fraction (%),Figure/Table,Breathing Type,Figure Number,Shape Factor,Stokes Number
Deposition simulations of realistic dosages in,11,A,2-way,1-way,0.9638554216867457,30,Upper Airway,Upper Airway Deposition Fraction,0.1924603174603174,19.24603174603174,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,3.052208835341367,30,Upper Airway,Upper Airway Deposition Fraction,0.2063492063492062,20.63492063492062,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,5.180722891566263,30,Upper Airway,Upper Airway Deposition Fraction,0.244047619047619,24.4047619047619,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,7.309236947791164,30,Upper Airway,Upper Airway Deposition Fraction,0.2936507936507937,29.36507936507937,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,9.397590361445785,30,Upper Airway,Upper Airway Deposition Fraction,0.3412698412698411,34.12698412698411,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,11.566265060240966,30,Upper Airway,Upper Airway Deposition Fraction,0.4722222222222221,47.22222222222221,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,13.654618473895578,30,Upper Airway,Upper Airway Deposition Fraction,0.5674603174603174,56.74603174603175,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,15.783132530120485,30,Upper Airway,Upper Airway Deposition Fraction,0.7023809523809522,70.23809523809523,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,17.8714859437751,30,Upper Airway,Upper Airway Deposition Fraction,0.8194444444444443,81.94444444444443,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,1-way,19.959839357429715,30,Upper Airway,Upper Airway Deposition Fraction,0.9087301587301586,90.87301587301586,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,3.052208835341365,30,Upper Airway,Upper Airway Deposition Fraction,0.5833333333333333,58.33333333333333,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,5.180722891566265,30,Upper Airway,Upper Airway Deposition Fraction,0.5238095238095237,52.38095238095237,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,7.269076305220884,30,Upper Airway,Upper Airway Deposition Fraction,0.6349206349206348,63.49206349206348,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,9.397590361445785,30,Upper Airway,Upper Airway Deposition Fraction,0.6666666666666665,66.66666666666666,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,11.526104417670684,30,Upper Airway,Upper Airway Deposition Fraction,0.8234126984126983,82.34126984126982,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,13.654618473895578,30,Upper Airway,Upper Airway Deposition Fraction,0.8928571428571427,89.28571428571426,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,15.742971887550198,30,Upper Airway,Upper Airway Deposition Fraction,0.9365079365079364,93.65079365079364,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,10 ug,17.91164658634538,30,Upper Airway,Upper Airway Deposition Fraction,0.9484126984126984,94.84126984126983,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,5.180722891566265,30,Upper Airway,Upper Airway Deposition Fraction,0.6884920634920633,68.84920634920633,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,7.309236947791166,30,Upper Airway,Upper Airway Deposition Fraction,0.7837301587301586,78.37301587301586,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,9.397590361445785,30,Upper Airway,Upper Airway Deposition Fraction,0.8849206349206348,88.49206349206348,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,11.526104417670684,30,Upper Airway,Upper Airway Deposition Fraction,0.9702380952380952,97.02380952380952,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,13.654618473895582,30,Upper Airway,Upper Airway Deposition Fraction,0.9960317460317458,99.60317460317458,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,15.7429718875502,30,Upper Airway,Upper Airway Deposition Fraction,1.0019841269841268,1.0019841269841268,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,100 ug,17.8714859437751,30,Upper Airway,Upper Airway Deposition Fraction,1.0039682539682535,1.0039682539682535,Upper Airway,Upper Airways,,,,,,,,
Deposition simulations of realistic dosages in,11,A,2-way,50 ug,3.052208835341365,30,Upper Airway,Upper Airway Deposition Fraction,0.6805555555555554,68.05555555555554,Upper Airway,Upper Airways,,,,,,,,
